customer_id,first_name,last_name,gender,age,email,phone,city,state,country,signup_date,loyalty_tier,preferred_channel
CUST00001,Cindy,Page,Other,25,dennisrose@brewer.com,803-287-3506x63206,Johnsonbury,Arizona,USA,2022-06-11,Silver,In-Store
CUST00002,David,Juarez,Female,33,monique15@gmail.com,621-958-3122,Taylorside,New Hampshire,USA,2024-07-04,Silver,Web
CUST00003,Melissa,Ward,Other,24,davidlucero@brown-williams.org,001-139-474-9690x8004,Carolview,Iowa,USA,2023-05-23,Platinum,In-Store
CUST00004,Andrew,Fisher,Other,23,carrollmatthew@johnston-bishop.com,973.948.4448x6291,East Keithberg,Maryland,USA,2022-11-14,Platinum,Mobile App
CUST00005,Samantha,Johnson,Male,19,hking@preston.com,(674)952-5787x276,Davidtown,Colorado,USA,2021-05-16,Silver,Web
CUST00006,Katrina,Shepard,Male,50,idavies@hotmail.com,+1-532-222-7948x29760,North Christopherport,Florida,USA,2025-09-12,Platinum,Web
CUST00007,Joseph,Bryant,Other,30,coopersteve@barber-wilson.com,(519)797-9664x6738,Tracifort,Alabama,USA,2021-08-23,Platinum,In-Store
CUST00008,Phyllis,Brown,Other,52,whall@gmail.com,001-121-913-5714,Nicholasmouth,Pennsylvania,USA,2022-05-06,Gold,Web
CUST00009,Christopher,Baker,Female,55,caseylori@hotmail.com,019-001-5175x06670,Wrightshire,Utah,USA,2025-03-06,Gold,Web
CUST00010,Cesar,Schmidt,Male,62,wdodson@gmail.com,+1-376-792-5468x647,Port Danielle,South Dakota,USA,2023-10-30,Gold,Mobile App
CUST00011,Christopher,Sanchez,Female,27,davisdavid@stevens-garcia.biz,9953898429,Arielfurt,Iowa,USA,2024-04-26,Silver,Mobile App
CUST00012,Jonathan,Larson,Male,23,ryanmiranda@yahoo.com,880.178.9721,North Jessica,Nebraska,USA,2023-01-17,Gold,Web
CUST00013,Amber,Smith,Female,40,john29@gmail.com,976-398-7661,East Kaitlyn,New Hampshire,USA,2026-02-26,Platinum,Mobile App
CUST00014,Carrie,White,Male,64,mcooper@scott.org,(525)246-8944,Dianaview,Vermont,USA,2023-07-11,Gold,In-Store
CUST00015,Cheryl,Jones,Male,42,mosleyjoshua@morris-perry.com,765.578.0497x68530,South Thomas,Virginia,USA,2021-09-19,Silver,In-Store
CUST00016,Elizabeth,Stanton,Female,58,veronica46@martinez.com,557-116-5837,Rebeccabury,Tennessee,USA,2023-07-11,Platinum,Mobile App
CUST00017,Robert,Ross,Other,30,ianderson@jordan.com,(479)978-0691,Lake Jaymouth,Massachusetts,USA,2024-11-06,Platinum,Web
CUST00018,Aaron,Bonilla,Male,60,randygonzales@johnson.info,001-991-780-5596,Lewisborough,California,USA,2022-07-19,Silver,Mobile App
CUST00019,Benjamin,Randolph,Male,32,shermanjames@daniels.org,539-304-9750x2437,Juanfurt,Utah,USA,2023-01-30,Silver,Mobile App
CUST00020,Paul,Clark,Female,47,jorgebuchanan@thomas.info,001-009-526-5165x98112,Parkerbury,Connecticut,USA,2023-12-09,Platinum,Mobile App
CUST00021,Kyle,Collins,Male,41,laurenbrown@martinez.com,(178)953-2860x048,Ethanberg,West Virginia,USA,2021-12-02,Gold,Web
CUST00022,Toni,Henry,Other,35,william80@gmail.com,321-844-4695,Fernandezchester,Vermont,USA,2025-11-24,Platinum,In-Store
CUST00023,Thomas,Hatfield,Other,22,jaimedelgado@middleton.org,546-056-6974x67441,Robertmouth,Alabama,USA,2024-04-30,Platinum,In-Store
CUST00024,Patricia,Ramirez,Male,52,tracycolon@miller-gardner.com,+1-060-332-0999x601,Danielleview,New York,USA,2024-01-25,Platinum,Web
CUST00025,Kathryn,Roman,Male,47,gnelson@west.info,+1-161-941-4615x58564,South Jessicafort,Texas,USA,2022-02-24,Gold,Mobile App
CUST00026,Jessica,Raymond,Other,62,kelsey68@thomas.com,856.623.1753x35493,Lake Rodneyside,Hawaii,USA,2022-07-22,Platinum,Web
CUST00027,Kurt,Johnson,Other,38,elizabeth45@eaton.com,537-366-8499x1768,Lake Jessica,New Mexico,USA,2025-03-20,Silver,Web
CUST00028,Misty,Jackson,Male,69,terrellbrian@yahoo.com,(586)307-2948x514,Webbmouth,Idaho,USA,2024-01-05,Gold,Mobile App
CUST00029,John,Nguyen,Female,22,brendagomez@gross.biz,366-092-3471x68037,Andersonview,Washington,USA,2021-06-10,Silver,In-Store
CUST00030,Ryan,Cummings,Other,38,rsmith@hotmail.com,7042214586,Castillomouth,Michigan,USA,2021-09-17,Silver,In-Store
CUST00031,Samuel,Bryant,Female,43,millerdavid@leonard.com,001-626-180-7705x383,Port Sarah,Nebraska,USA,2023-03-19,Platinum,Mobile App
CUST00032,Alex,Kelley,Male,34,ksmith@gmail.com,+1-650-940-3928x324,Codyberg,Minnesota,USA,2026-01-18,Silver,Web
CUST00033,Marc,Lin,Other,53,wilsonjasmin@young-lambert.biz,991.959.0545x0380,Joshuabury,Arkansas,USA,2026-01-08,Platinum,Mobile App
CUST00034,Karen,Perez,Other,55,spencerwilliams@hotmail.com,001-210-654-2017,North Christie,West Virginia,USA,2022-09-27,Gold,In-Store
CUST00035,Paul,Payne,Female,41,lisamartin@gmail.com,001-490-366-2698,Heathermouth,Georgia,USA,2025-04-23,Silver,Web
CUST00036,Brad,Lopez,Other,49,christopher15@gmail.com,(828)865-2118x56809,New Robert,New Hampshire,USA,2024-12-26,Silver,Web
CUST00037,Tonya,Nixon,Male,27,vmelendez@montes.com,001-139-854-2525,Larsenberg,Pennsylvania,USA,2022-09-28,Platinum,Web
CUST00038,Thomas,Burns,Other,45,staceyzamora@sanchez.biz,246-444-8534x47561,South Michelle,Delaware,USA,2021-10-18,Platinum,Web
CUST00039,Alyssa,Collier,Female,42,kristenjohnson@miller-brown.com,001-865-357-3097x847,West Robertshire,New Jersey,USA,2024-10-16,Platinum,Mobile App
CUST00040,Sheila,Allen,Other,34,richardwilliams@yahoo.com,+1-962-946-7450x89053,North Eric,Hawaii,USA,2023-02-14,Platinum,Web
CUST00041,Duane,Taylor,Other,64,kristenayers@perkins.net,999.968.5243x63246,Ashleebury,Indiana,USA,2022-12-07,Silver,In-Store
CUST00042,Robert,Lane,Other,66,fhernandez@hotmail.com,(167)905-1516x545,Christopherside,Minnesota,USA,2026-04-02,Gold,In-Store
CUST00043,Deanna,Townsend,Female,25,cwilliams@gibbs.com,516.647.1116,Curryland,Wisconsin,USA,2024-04-29,Gold,Mobile App
CUST00044,Jesse,Brooks,Male,47,lori43@salazar.com,001-721-889-1105x802,Brownfurt,Minnesota,USA,2022-05-02,Silver,In-Store
CUST00045,Patrick,Kelly,Other,34,kyoung@perkins-hawkins.com,466.540.8592x764,East Tony,Utah,USA,2021-07-20,Platinum,Web
